chembl_id,smiles,ic50_nM,pchembl,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,lipinski_violations,is_druglike
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,7.39,383.09491600000007,0.10526315789473684,6,3,4,8,27,3,0,82.69999999999999,0.5833573872884239,4.450340000000002,2.8615668525262805,0,1,1,1,2,3,0,0,0,0,True
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,7.40,482.12694440000007,0.21739130434782608,9,3,5,11,34,4,0,112.24,0.4896190037984267,3.614320000000001,2.989685295436498,0,2,2,1,2,3,0,1,1,0,True
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,9.35,541.2004436880001,0.3076923076923077,10,5,4,12,38,10,0,135.27,0.24754082172752748,3.57442,3.601094190200958,0,1,1,1,2,3,0,0,0,1,True
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,7.85,326.10467216,0.125,6,1,3,7,23,4,0,65.77,0.562334654811535,4.587100000000003,2.5083034093374703,0,0,0,2,1,3,0,0,0,0,True
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,7.00,312.089022096,0.06666666666666667,6,2,3,7,22,4,0,74.56,0.5515666779217898,4.435700000000002,2.472756770648296,0,0,0,2,1,3,0,0,0,0,True
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,7.19,455.10692042400007,0.3,8,2,4,9,29,7,0,87.03,0.4085493950616827,4.247200000000003,2.744713043167021,0,1,1,2,1,3,0,1,1,0,True
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,22.0,7.66,511.153493496,0.25,10,4,5,12,36,7,0,124.26999999999998,0.3594565557908186,2.895500000000001,3.033811991120107,0,2,2,1,2,3,0,1,1,1,True
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,8.35,559.2331877880001,0.1875,10,3,7,10,42,6,0,117.16999999999999,0.2568545013389869,4.824820000000003,3.0786173695429815,0,2,2,2,3,5,0,1,1,1,True
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,100.0,7.00,559.2331877880001,0.1875,10,3,7,10,42,6,0,117.16999999999999,0.2568545013389869,4.824820000000003,3.0786173695429815,0,2,2,2,3,5,0,1,1,1,True
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,8.19,525.1691435600001,0.28,10,4,5,12,37,7,0,124.27000000000001,0.34910951558339387,3.203920000000001,3.0343179896124397,0,2,2,1,2,3,0,1,1,1,True
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,40.0,7.40,525.1691435600001,0.28,10,4,5,12,37,7,0,124.27000000000001,0.34910951558339387,3.203920000000001,3.0343179896124397,0,2,2,1,2,3,0,1,1,1,True
CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,7.89,509.1742289400001,0.28,9,3,5,11,36,5,0,106.25,0.45009359084014605,3.919620000000001,2.99138833118276,0,2,2,1,2,3,0,1,1,1,True
CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,7.54,413.069095176,0.05263157894736842,8,4,4,10,29,4,0,120.0,0.48222412954816424,3.8401200000000006,2.9438785967349013,0,1,1,1,2,3,0,0,0,0,True
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,7.36,314.01670845200005,0.0,4,3,3,5,19,2,0,63.83,0.7075582965166849,3.7181000000000015,2.040987125342699,0,0,0,2,1,3,0,0,0,0,True
CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,8.33,441.1003953040001,0.14285714285714285,8,4,4,10,31,6,0,120.0,0.4262276916908714,4.1591200000000015,2.989255958244309,0,1,1,1,2,3,0,0,0,0,True
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,8.74,560.2284367560002,0.1935483870967742,11,3,7,11,42,6,0,130.06,0.265233946304514,4.219820000000002,3.1094987954341633,0,2,2,2,3,5,0,1,1,2,False
CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,100.0,7.00,560.2284367560002,0.1935483870967742,11,3,7,11,42,6,0,130.06,0.265233946304514,4.219820000000002,3.1094987954341633,0,2,2,2,3,5,0,1,1,2,False
CHEMBL134312,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,7.96,370.05415658,0.125,6,1,3,7,23,4,0,65.77,0.5335207770252038,4.696200000000003,2.56433417856824,0,0,0,2,1,3,0,0,0,0,True
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,8.55,495.1585788760001,0.25,9,3,5,11,35,4,0,106.25,0.47806153545957225,3.5295200000000007,2.9884091676844324,0,2,2,1,2,3,0,1,1,0,True
CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,100.0,7.00,495.1585788760001,0.25,9,3,5,11,35,4,0,106.25,0.47806153545957225,3.5295200000000007,2.9884091676844324,0,2,2,1,2,3,0,1,1,0,True
